cell_type	replicate	chip
Liver	2	LB1
CardiacMyocytes	2	LB1
EndoProgenitor	2	LB1
D5Midbrain	2	LB1
EndoProgenitor	1	LB1
H9ESC	2	LB1
Epicardium	2	LB1
MidHindgut	2	LB1
ParaxMesoderm	2	LB1
EarlySomite	2	LB1
Epicardium	1	LB1
DefEctoderm	2	LB1
DefEctoderm	1	LB1
H9ESC	1	LB1
CardiacMyocytes	1	LB1
Liver	1	LB1
BorderEctoderm	2	LB1
MidHindgut	1	LB1
D5Midbrain	1	LB1
EarlySomite	1	LB1
BorderEctoderm	1	LB1
D4Artery	1	LB1
ParaxMesoderm	1	LB1
DefEctoderm	2	H3K9me2
Liver	2	H3K9me2
EarlySomite	2	H3K9me2
Epicardium	2	H3K9me2
BorderEctoderm	2	H3K9me2
CardiacMyocytes	2	H3K9me2
D4Artery	2	H3K9me2
Epicardium	1	H3K9me2
D4Artery	1	H3K9me2
ParaxMesoderm	2	H3K9me2
MidHindgut	2	H3K9me2
Liver	1	H3K9me2
D5Midbrain	1	H3K9me2
EndoProgenitor	2	H3K9me2
EndoProgenitor	1	H3K9me2
ParaxMesoderm	1	H3K9me2
DefEctoderm	1	H3K9me2
MidHindgut	1	H3K9me2
H9ESC	2	H3K9me2
BorderEctoderm	1	H3K9me2
H9ESC	1	H3K9me2
CardiacMyocytes	1	H3K9me2
EarlySomite	1	H3K9me2
APS	1	LB1
APS	2	LB1
APS	2	H3K9me2
Sclerotome	1	LB1
Sclerotome	1	H3K9me2
Sclerotome	2	LB1
Sclerotome	2	H3K9me2
D4Artery	2	LB1
D5Midbrain	2	H3K9me2
APS	1	H3K9me2
